PIVA,RagioneSociale,email
1,BALAK     ,gabriele.citossi@rai.it
2,SCLIPPA   ,test@prova.it
3,ZANINELLO ,test@prova.it
4,BUSETTO   ,test@prova.it
5,ASPERTI   ,test@prova.it
6,FABRINI FABBRINI--------- ,test@prova.it
7,FERRIANI  ,test@prova.it
8,MARESCOTTI,test@prova.it
9,ZANNIER   ,test@prova.it
10,PETRONI   ,test@prova.it
11,MIONI     ,test@prova.it
12,STRAMUCCI ,test@prova.it
13,BENNASSI  ,test@prova.it
14,GARUTI    ,test@prova.it
15,BARILLI   ,test@prova.it
16,NEROZZI   ,test@prova.it
17,MENARINI  ,test@prova.it
18,TOSCHI    ,test@prova.it
19,SERENARI  ,test@prova.it
20,GABRIELLI ,test@prova.it
21,GUERZONI  ,test@prova.it
22,MARFISI   ,test@prova.it
23,ROSSI     ,test@prova.it
24,GUALANDI  ,test@prova.it
25,GAMBERINI ,test@prova.it
26,LANZARINI ,test@prova.it
27,ZANFRA    ,test@prova.it
28,PATELLI   ,test@prova.it
29,BISI      ,test@prova.it
30,GUIZZARDI ,test@prova.it
31,TAGLIAVINI,test@prova.it
32,PALTRINIERi,test@prova.it
34,BERNABEI  ,test@prova.it
35,ADVERSI   ,test@prova.it
36,BABINA    ,test@prova.it
37,TRADII    ,test@prova.it
38,CASELLATO ,test@prova.it
39,ANDALO    ,test@prova.it
40,DOLCETTI  ,test@prova.it
41,VENTURINI ,test@prova.it
42,FIORI     ,test@prova.it
43,CORAZZA   ,test@prova.it
44,BONORA    ,test@prova.it
45,GERLI     ,test@prova.it
46,CALIRI    ,test@prova.it
47,VATALARO  ,test@prova.it
48,CREMONINI ,test@prova.it
49,MEZZINI   ,test@prova.it
50,PASSANESE ,test@prova.it
51,LUSA      ,test@prova.it
52,MERLI     ,test@prova.it
53,NANNI     ,test@prova.it
54,CAZZARA   ,test@prova.it
55,FORNACIARI,test@prova.it
56,BOI-,test@prova.it
57,ROSSIGNOLO,test@prova.it
58,CABURAZZI ,test@prova.it
59,GAETANI   ,test@prova.it
60,MAZZONI   ,test@prova.it
61,CAPOVILLA ,test@prova.it
62,GUIDOTTI  ,test@prova.it
63,VANTINI   ,test@prova.it
64,NALDI     ,test@prova.it
65,GARDELLI  ,test@prova.it
66,COMANDINI ,test@prova.it
67,LANDI     ,test@prova.it
68,PODIO     ,test@prova.it
69,GIUSTI    ,test@prova.it
70,VIOLI     ,test@prova.it
71,TUOZZI    ,test@prova.it
72,MALFATTI  ,test@prova.it
73,VERONESI  ,test@prova.it
74,MARZOCCHI ,test@prova.it
75,SERRAPICA ,test@prova.it
76,GATTO     ,test@prova.it
77,NALDI     ,test@prova.it
78,SAMMUT    ,test@prova.it
79,GUARINI MATTEUCCI---------,test@prova.it
80,ARENA     ,test@prova.it
81,BARBIERI  ,test@prova.it
82,CASTANOS  ,test@prova.it
83,BERNASCONI,test@prova.it
84,MARCHIO   ,test@prova.it
85,TARTARI   ,test@prova.it
86,MALSERVISI,test@prova.it
87,CASTORI   ,test@prova.it
88,PASQUI    ,test@prova.it
89,MARTIN MINGUEZ---------   ,test@prova.it
90,MARTIN MINGUEZ---------   ,test@prova.it
91,ZHOU      ,test@prova.it
92,CANESTRINI,test@prova.it
93,VEDELINA  ,test@prova.it
94,MANIONE   ,test@prova.it
95,LAI-,test@prova.it
96,CHEN      ,test@prova.it
97,SALAH     ,test@prova.it
98,PADOVANI  ,test@prova.it
99,FRATI     ,test@prova.it
100,PALAGIANO ,test@prova.it
101,IANNICI   ,test@prova.it
102,ROSSI     ,test@prova.it
103,NATALE    ,test@prova.it
104,APREA     ,test@prova.it
105,MAZZANTI  ,test@prova.it
106,CERRONE   ,test@prova.it
107,BELLISARIO,test@prova.it
108,LA MORGIA ,test@prova.it
109,TENAGLIA  ,test@prova.it
110,SCACCIA   ,test@prova.it
111,D ANGELO  ,test@prova.it
112,SCACCIA   ,test@prova.it
113,GIANCRISTOFARO---------   ,test@prova.it
114,NICOLUCCI ,test@prova.it
115,PASQUINI  ,test@prova.it
116,PASQUINI  ,test@prova.it
117,PASQUINI  ,test@prova.it
118,NERINI    ,test@prova.it
119,OTTAVIANO ,test@prova.it
120,DI NUNZIO ,test@prova.it
121,GNAGNARELLA---------      ,test@prova.it
122,IASCI     ,test@prova.it
123,COTELLESSA,test@prova.it
124,SCATOZZA  ,test@prova.it
125,GIANCRISTOFARO---------   ,test@prova.it
126,DI CIANO  ,test@prova.it
127,FANTINI   ,test@prova.it
128,FANTINI   ,gabriele.citossi@rai.it
129,TORTORELLI,test@prova.it
130,FANTINI   ,test@prova.it
131,ROSATO    ,test@prova.it
132,SPOLTORE  ,test@prova.it
133,ZULLI     ,test@prova.it
134,POMPA     ,test@prova.it
135,DI CAMPLI ,test@prova.it
136,SPOLTORE  ,test@prova.it
137,CICCOCIOPPO---------      ,test@prova.it
138,CAPESTRANO,test@prova.it
139,BOLLETTA  ,test@prova.it
140,TUPONE    ,test@prova.it
141,DI CAMPLI ,test@prova.it
142,DI NENNO  ,test@prova.it
143,GIANCRISTOFARO---------   ,test@prova.it
144,DI NUNZIO ,test@prova.it
145,RAZIONALE ,test@prova.it
146,MONTEFUSCO,test@prova.it
147,MONTEFUSCO,test@prova.it
148,DI PIETRO ,test@prova.it
149,RUGGIERO  ,test@prova.it
150,LA MORGIA ,test@prova.it
151,MONTEAMARO,test@prova.it
152,LA MORGIA ,test@prova.it
153,COSTANTINO,test@prova.it
154,CIUMMELLI ,test@prova.it
155,DI CAMPLI ,test@prova.it
156,SGOBBA    ,test@prova.it
157,DI NUNZIO ,test@prova.it
158,VENERDI   ,test@prova.it
159,DI NUNZIO ,test@prova.it
160,MEMMO     ,test@prova.it
161,RAPINO    ,test@prova.it
162,DI NUNZIO ,test@prova.it
163,VINCIGUERRA---------      ,test@prova.it
164,SIRENI    ,test@prova.it
165,NARDONE   ,test@prova.it
166,DI CASTELNUOVO---------   ,test@prova.it
167,OTTAVIANO ,test@prova.it
168,OTTAVIANO ,test@prova.it
169,SORA      ,test@prova.it
170,DI CAMPLI ,test@prova.it
171,PASQUINI  ,test@prova.it
172,GIULIANTE ,test@prova.it
173,FANTINI   ,test@prova.it
174,D AMELIO  ,test@prova.it
175,VALLASPRA ,test@prova.it
176,BUCCIARELLI---------      ,test@prova.it
177,RUICCI    ,test@prova.it
178,CIUMMELLI ,test@prova.it
179,CERRONE   ,test@prova.it
180,DONATELLI ,test@prova.it
181,DE LUCA   ,test@prova.it
182,BELLISARIO,test@prova.it
183,MARINO    ,test@prova.it
184,GIAMMARINO,test@prova.it
185,NASUTI    ,test@prova.it
186,D ANGELO  ,test@prova.it
187,DI NENNO  ,test@prova.it
188,DI MENNO DI BUCCHIANICO-------- ,test@prova.it
189,NASUTI    ,test@prova.it
190,GIANCRISTOFARO---------   ,test@prova.it
191,GIANCRISTOFARO---------   ,test@prova.it
192,MEMMO     ,test@prova.it
193,MEMMO     ,test@prova.it
194,PANCELLA  ,test@prova.it
195,DI CAMPLI ,test@prova.it
196,MARINO    ,test@prova.it
197,COLACIOPPO,test@prova.it
198,MASCIARELLI---------      ,test@prova.it
199,CAROSELLA ,test@prova.it
200,CATENARO  ,test@prova.it
201,BUCCIANTE ,test@prova.it
202,CIAMPINI  ,test@prova.it
203,SALVATORE ,test@prova.it
204,D URBANO  ,test@prova.it
205,BARBELLA  ,test@prova.it
206,ANGELUCCI ,test@prova.it
207,LIBERATO  ,test@prova.it
208,RANIERI   ,test@prova.it
209,CICCOCIOPPO---------      ,test@prova.it
210,PETRARCA  ,test@prova.it
211,GERMANI   ,test@prova.it
212,CAPORALE  ,test@prova.it
213,MARZIANI  ,test@prova.it
214,SABELLA   ,test@prova.it
215,LA MORGIA ,test@prova.it
216,CERICOLA  ,test@prova.it
217,SPOLTORE  ,test@prova.it
218,SPOLTORE  ,test@prova.it
219,PANTALEONE,test@prova.it
220,CASTIGLIONE---------      ,test@prova.it
221,ARMATORI  ,test@prova.it
222,GIANCRISTOFARO---------   ,test@prova.it
223,MAMMARELLA,test@prova.it
224,MAMMARELLA,test@prova.it
225,DIDONE    ,test@prova.it
226,TRAPASSO  ,test@prova.it
227,MARFISI   ,test@prova.it
228,ROSELLI   ,test@prova.it
229,PAGLIALUNGA---------      ,test@prova.it
230,AZZARA    ,test@prova.it
231,BOMBA     ,test@prova.it
232,MIGLIETTI ,test@prova.it
233,DE NARDIS ,test@prova.it
234,BARRELLA  ,test@prova.it
235,DI LELLO  ,test@prova.it
236,LANDI     ,test@prova.it
237,CROGNALE  ,test@prova.it
